date,open,high,low,close,rate-day,rate-week,rate-month,rate-3month,rate-6month,rate-12month,5-high,5-low,5-average,20-high,20-low,20-average,60-high,60-low,60-average,120-high,120-low,120-average,52week-high,52week-low,52week-average ,ADX, RSI,MACD_12_ 26,9avg_MACD,oscillator,bollbandT,bollbandB,stochastic,이격도,역사적변동성,A ratio,B ratio,BWI,close
2014-03-07,1878.52,1883.57,1870.56,1878.04,0.05,1,4.51,4.04,13.47,21.61,1878.04,1845.73,1869.7,1878.04,1797.02,1842.5,1878.04,1741.89,1821.96,1878.04,1655.45,1783.84,1878.04,1541.61,1701.94,40.19849943,0.554164398,29.67910256,28.75719373,0.921908832,1883.844299,1801.157701,1,100.5383361,0.083237365,197.1516551,1959.095477,0.04487737,1878.04
2014-03-10,1877.86,1877.87,1867.04,1877.17,-0.05,1.7,4.3,4.14,11.47,21.02,1878.04,1873.81,1875.99,1878.04,1799.84,1846.51,1878.04,1741.89,1823.2,1878.04,1655.45,1785.33,1878.04,1541.61,1703.23,42.04927119,0.613090135,29.15724359,29.44725071,-0.290007123,1884.567283,1808.449717,0.98887468,100.6553429,0.083750156,182.2506116,2060.580021,0.041222429,1877.17
2014-03-11,1878.26,1882.35,1863.88,1867.63,-0.51,-0.34,2.63,4.79,10.57,20.01,1878.04,1867.63,1874.74,1878.04,1819.26,1849.9,1878.04,1741.89,1824.63,1878.04,1655.45,1786.69,1878.04,1541.61,1704.47,43.77453578,0.631535674,26.93608974,29.47669516,-2.540605413,1886.345471,1813.450529,0.822898945,100.7338491,0.080521302,146.0588565,1962.853907,0.039404844,1867.63
2014-03-12,1866.15,1868.38,1854.38,1868.2,0.03,-0.3,2.69,5.22,10.98,20.34,1878.04,1867.63,1873.61,1878.04,1819.26,1852.32,1878.04,1741.89,1826.17,1878.04,1655.45,1787.88,1878.04,1541.61,1705.72,40.59548346,0.59260631,24.30576923,28.9343661,-4.628596866,1886.330119,1818.310881,0.832596121,100.7549254,0.080399647,134.47442,1566.198502,0.036721096,1868.2
2014-03-13,1869.06,1874.4,1841.86,1846.34,-1.17,-1.64,0.9,4,9.38,18.77,1878.04,1846.34,1867.48,1878.04,1828.75,1853.67,1878.04,1741.89,1827.35,1878.04,1655.45,1788.91,1878.04,1541.61,1706.88,41.89895766,0.475278805,20.76512821,27.75893875,-6.993810541,1886.048766,1821.300234,0.356867519,100.7147781,0.090861722,109.049568,3020.074349,0.034929829,1846.34
2014-03-14,1845.07,1852.44,1839.57,1841.13,-0.28,-1.97,0.14,3.71,9.07,17.78,1877.17,1841.13,1860.09,1878.04,1828.75,1854.24,1878.04,1741.89,1828.26,1878.04,1655.45,1790.01,1878.04,1541.61,1707.98,40.4562279,0.467952522,17.82544872,26.3465812,-8.521132479,1886.380496,1822.098504,0.251166565,100.6306342,0.090055101,103.5002555,2968.939394,0.034667578,1841.13
2014-03-17,1842.81,1862.3,1842.81,1858.83,0.96,-0.98,1.1,4.37,9.04,19.1,1868.2,1841.13,1856.43,1878.04,1828.75,1855.25,1878.04,1741.89,1829.56,1878.04,1655.45,1791.32,1878.04,1541.61,1709.16,40.49241834,0.487294805,15.82647436,24.78010684,-8.953632479,1886.584604,1823.914396,0.610265774,100.5694283,0.096109765,109.5321752,-2662.252664,0.033779935,1858.83
2014-03-18,1858.92,1873.76,1858.92,1872.25,0.72,0.25,1.71,3.4,8.5,20.63,1872.25,1841.13,1857.35,1878.04,1828.75,1856.82,1878.04,1741.89,1830.59,1878.04,1655.45,1792.77,1878.04,1541.61,1710.43,36.2830641,0.534028204,14.10814103,23.04444444,-8.936303419,1888.258014,1825.389986,0.882531954,100.5369259,0.098942444,119.8236119,-2964.85623,0.033857828,1872.25
2014-03-19,1872.25,1874.14,1850.35,1860.77,-0.61,-0.4,1.75,2.83,8.04,20.18,1872.25,1841.13,1855.86,1878.04,1836.25,1858.43,1878.04,1741.89,1831.44,1878.04,1655.45,1794.17,1878.04,1541.61,1711.67,30.34998049,0.524538019,13.78378205,21.37635328,-7.592571225,1886.967191,1829.882809,0.58674324,100.5027347,0.098562872,108.1235125,-2225.985222,0.030716538,1860.77
2014-03-20,1860.09,1873.49,1854.63,1872.01,0.6,1.39,1.75,2.95,9.48,20.1,1872.25,1841.13,1861,1878.04,1836.25,1860.04,1878.04,1741.89,1832.34,1878.04,1655.45,1795.62,1878.04,1541.61,1712.92,32.39272343,0.545467709,11.59660256,19.36718661,-7.770584046,1887.774359,1832.298641,0.855707107,100.4666619,0.098569069,107.4909635,-2581.726619,0.029825069,1872.01
2014-03-21,1874.53,1883.97,1863.46,1866.52,-0.29,1.38,1.65,2.65,9.16,20.75,1872.25,1858.83,1866.08,1878.04,1841.13,1861.55,1878.04,1741.89,1832.98,1878.04,1655.45,1797.07,1878.04,1541.61,1714.19,29.80141155,0.580029256,9.577948718,17.1917094,-7.613760684,1887.034862,1836.065138,0.687889461,100.4238681,0.099011986,106.5036734,-2262.102689,0.027380261,1866.52
2014-03-24,1867.67,1873.34,1849.69,1857.44,-0.49,-0.07,0.53,1.32,9.43,19.3,1872.25,1857.44,1865.8,1878.04,1841.13,1862.04,1878.04,1741.89,1833.38,1878.04,1655.45,1798.54,1878.04,1541.61,1715.38,29.21366619,0.497035807,7.221987179,15.00125356,-7.779266382,1886.762079,1837.320921,0.441885668,100.3293242,0.098859161,87.26363834,-1925,0.026552125,1857.44
2014-03-25,1859.48,1871.87,1855.96,1865.62,0.44,-0.35,1.11,1.76,10.21,20.23,1872.01,1857.44,1864.47,1878.04,1841.13,1863.07,1878.04,1741.89,1833.77,1878.04,1655.45,1799.96,1878.04,1541.61,1716.63,25.87489683,0.465550601,5.148910256,12.87271368,-7.723803419,1886.499336,1839.633664,0.663505825,100.2666234,0.099706972,93.14231773,-1654.587581,0.025155125,1865.62
