date,open,high,low,close,rate-day,rate-week,rate-month,rate-3month,rate-6month,rate-12month,5-high,5-low,5-average,20-high,20-low,20-average,60-high,60-low,60-average,120-high,120-low,120-average,52week-high,52week-low,52week-average ,ADX, RSI,MACD_12_ 26,9avg_MACD,oscillator,bollbandT,bollbandB,stochastic,이격도,역사적변동성,A ratio,B ratio,BWI,close
2016-03-11,9672.05,9833.9,9642.79,9831.13,3.51,0.07,12.32,-4.92,-2.89,-16.73,9831.13,9498.15,9704.82,9831.13,9135.11,9533.16,10860.14,8752.87,9758.2,11382.23,8752.87,10126.76,12374.73,8752.87,10740.32,28.9538373,0.568975307,255.5716026,157.807849,97.76375356,9978.947257,9087.370743,1,92.99350113,0.273937378,131.329712,256.4103553,0.093523722,9831.13
2016-03-14,9948.21,10039.61,9936.06,9990.26,1.62,2.16,11.41,-1.47,-1.4,-16.06,9990.26,9498.15,9747.09,9990.26,9135.11,9572.33,10860.14,8752.87,9750.53,11382.23,8752.87,10130.26,12374.73,8752.87,10728.58,30.29596456,0.585733492,283.391859,187.6161538,95.77570513,10034.75472,9109.905281,1,93.46134993,0.265481563,133.0574018,235.1942299,0.096616961,9990.26
2016-03-15,9941.46,9973.58,9890.12,9933.85,-0.56,2.49,7.9,-4.94,-2.5,-16.53,9990.26,9498.15,9795.3,9990.26,9167.8,9612.27,10860.14,8752.87,9741.61,11382.23,8752.87,10132.94,12374.73,8752.87,10725.45,30.54186793,0.667982316,281.7265385,211.7665456,69.95999288,10053.16562,9171.368384,0.931413078,93.92230978,0.2643149,143.6167968,233.8697339,0.091736656,9933.85
2016-03-16,9971.04,10021.7,9917.92,9983.41,0.5,2.68,9.29,-4.64,-2.38,-17.95,9990.26,9498.15,9847.36,9990.26,9167.8,9642.58,10860.14,8752.87,9729.03,11382.23,8752.87,10137.57,12374.73,8752.87,10716.85,32.90995595,0.64588004,279.9321154,229.4554986,50.47661681,10098.52747,9186.626526,0.991671327,94.28267806,0.251449099,128.995326,210.5949933,0.094570253,9983.41
2016-03-17,10051.69,10055.29,9753.04,9892.2,-0.91,4.15,5.49,-7.88,-3.3,-17.43,9990.26,9831.13,9926.17,9990.26,9167.8,9664.01,10860.14,8752.87,9717.1,11382.23,8752.87,10139.26,12374.73,8752.87,10708.63,32.63908235,0.628709441,260.8683974,241.6765456,19.19185185,10124.80327,9203.206729,0.880772317,94.55039873,0.254005089,105.5234075,170.1599811,0.095363831,9892.2
2016-03-18,9905.67,9961.48,9822.52,9950.8,0.59,1.22,5.15,-6.2,0.35,-16.54,9990.26,9892.2,9950.1,9990.26,9167.8,9692.14,10860.14,8752.87,9707.98,11382.23,8752.87,10143.16,12374.73,8752.87,10700.86,33.54930602,0.582660116,229.3091667,247.3896937,-18.08052707,10150.71174,9233.57326,0.952021983,94.87322567,0.251380721,106.7873887,185.217068,0.094627012,9950.8
2016-03-21,9893.26,10095.46,9863.83,9948.64,-0.02,-0.42,5.97,-5.23,0,-17.37,9983.41,9892.2,9941.78,9990.26,9167.8,9710.9,10860.14,8752.87,9698.98,11382.23,8752.87,10147.31,12374.73,8752.87,10687.86,35.91733067,0.589511376,207.9667308,247.6314815,-39.66475071,10179.6134,9242.176602,0.949395715,95.09820485,0.243744526,111.0954594,158.6321776,0.096534542,9948.64
2016-03-22,9836.28,9990,9762.57,9990,0.42,0.57,4.35,-4.76,4.38,-17.02,9990,9892.2,9953.01,9990.26,9167.8,9739.56,10860.14,8752.87,9686.68,11382.23,8752.87,10150.06,12374.73,8752.87,10685.12,33.97715845,0.583683682,191.664359,245.2846866,-53.62032764,10202.61746,9276.495539,0.999683875,95.40901934,0.233929075,119.7955456,162.2474642,0.095088716,9990
2016-03-23,10046.94,10112.17,9964.63,10022.93,0.33,0.4,6.44,-6.57,4.27,-15.74,10022.93,9892.2,9960.91,10022.93,9331.48,9782.31,10860.14,8752.87,9676.17,11382.23,8752.87,10154.34,12374.73,8752.87,10677.74,30.81599185,0.535238043,177.8507692,240.9201709,-63.06940171,10175.77365,9388.852353,1,95.83974,0.20611575,137.7529658,209.9213058,0.080443275,10022.93
2016-03-24,9974.6,9977.99,9845.37,9851.35,-1.71,-0.41,7.46,-8.17,4.49,-17.94,10022.93,9851.35,9952.74,10022.93,9495.4,9808.31,10743.01,8752.87,9659.35,11382.23,8752.87,10156.82,12374.73,8752.87,10669.26,27.77788137,0.50983016,172.8254487,231.7261538,-58.90070513,10140.24056,9476.372437,0.674748356,96.12414798,0.21350537,126.1902336,158.4796088,0.067684276,9851.35
2016-03-25,9974.6,9977.99,9845.37,9851.35,-1.71,-0.41,7.46,-8.17,4.49,-17.94,10022.93,9851.35,9952.74,10022.93,9495.4,9808.31,10743.01,8752.87,9659.35,11382.23,8752.87,10156.82,12374.73,8752.87,10669.26,32.54423862,0.488569002,168.601859,218.9717094,-50.36985043,10110.04395,9506.569049,0.674748356,96.12205222,0.204490514,110.7802203,138.6538267,0.061526921,9851.35
2016-03-28,9974.6,9977.99,9845.37,9851.35,-1.71,-0.41,7.46,-8.17,4.49,-17.94,10022.93,9851.35,9952.74,10022.93,9495.4,9808.31,10743.01,8752.87,9659.35,11382.23,8752.87,10156.82,12374.73,8752.87,10669.26,38.61899909,0.479590379,180.2159615,207.6927564,-27.47679487,10067.06484,9549.548157,0.674748356,96.10009845,0.204158851,104.3235315,167.9561849,0.052763103,9851.35
