date,open,high,low,close,rate-day,rate-week,rate-month,rate-3month,rate-6month,rate-12month,rateYTD),5-high,5-low,5-average,20-high,20-low,20-average,60-high,60-low,60-average,120-high,120-low,120-average,52week-high,52week-low,52week-average ,ADX, RSI,MACD_12_ 26,9avg_MACD,oscillator,bollbandT,bollbandB,stochastic,이격도,역사적변동성,A ratio,B ratio,BWI,close
2013-01-24,260.5,261.7,258.7,259.1,-0.8,-0.5,-0.87,2.64,9.51,0.75,0.75,1996.52,1964.48,1983.22,2031.1,1964.48,1994.61,2031.1,1860.83,1951.02,2031.1,1848.68,1946.55,2049.28,1769.31,1938.43,29.73649264,0.31011236,-1.395192308,0.253632479,-1.648824786,2000.446841,1988.773159,-25.59861903,100.3167006,0.122254502,61.2195122,-573.5849057,0.005852614,259.1
2013-01-25,259.1,259.6,255.15,255.85,-0.91,-2.07,-1.77,1.15,10.03,-0.28,-0.28,1996.52,1946.69,1974.99,2031.1,1946.69,1992.83,2031.1,1860.83,1951.94,2031.1,1848.68,1947.11,2049.28,1769.31,1938.41,32.49925385,0.327710843,-1.759615385,-0.170014245,-1.58960114,1999.806372,1985.853628,-20.03127592,100.169292,0.125574885,53.17725753,-558.6538462,0.007001472,255.85
2013-01-28,255.15,256.1,254.25,255.65,-0.36,-2.37,-2.87,2.55,6.04,-1.28,-1.28,1996.52,1939.71,1965.56,2031.1,1939.71,1990.45,2031.1,1860.83,1952.61,2031.1,1848.68,1947.69,2049.28,1769.31,1938.23,33.1219719,0.361702128,-2.333333333,-0.611467236,-1.721866097,1998.32059,1982.57941,-18.42718022,99.99788997,0.125452805,50.49288061,-474.796748,0.007908352,255.65
2013-01-29,255.95,258.05,255.45,257.35,0.84,-2.03,-2.06,3.41,6.93,-0.45,-0.45,1980.41,1939.71,1957.45,2031.1,1939.71,1988.4,2031.1,1860.83,1953.34,2031.1,1860.83,1948.59,2049.28,1769.31,1938.31,33.02256972,0.362473348,-2.683012821,-1.04017094,-1.64284188,1996.673195,1980.126805,-18.40857862,99.84837449,0.128913997,50.81433225,-388.8888889,0.00832146,257.35
2013-01-30,258.25,259.55,256.65,258.55,0.43,-0.81,-1.63,3.41,6.54,1.23,1.23,1964.48,1939.71,1954.25,2019.41,1939.71,1985.06,2031.1,1860.83,1954.44,2031.1,1860.83,1949.24,2049.28,1769.31,1938.4,31.61259929,0.344298246,-3.116346154,-1.476032764,-1.64031339,1992.767309,1977.352691,-21.093601,99.65463308,0.106831234,44.74789916,-391.7808219,0.007765315,258.55
2013-01-31,257.55,258.4,257,257.75,-0.13,-0.13,-1.76,2.61,4.25,0.31,0.31,1964.43,1939.71,1953.75,2011.94,1939.71,1982.19,2031.1,1860.83,1955.16,2031.1,1860.83,1949.87,2049.28,1769.31,1938.43,34.16933469,0.354401806,-3.3375,-1.864138177,-1.473361823,1989.489133,1974.890867,-23.28616918,99.50253501,0.106339649,49.3258427,-587.7777778,0.007364716,257.75
2013-02-01,258.45,259.45,255.35,257.5,-0.21,0.57,-1.97,3.13,4.14,-0.07,-0.07,1964.43,1939.71,1955.97,2011.25,1939.71,1979.48,2031.1,1860.83,1955.99,2031.1,1860.83,1950.32,2049.28,1769.31,1938.42,31.09196376,0.362308254,-3.378525641,-2.200249288,-1.178276353,1986.534815,1972.425185,-23.51425776,99.37422971,0.10526998,49.77924945,-537.8640777,0.007127948,257.5
2013-02-04,258.55,259.15,256.45,256.45,-0.23,0.7,-2.92,1.8,5.65,-0.97,-0.97,1964.43,1953.21,1958.67,2007.04,1939.71,1976.58,2031.1,1860.83,1956.41,2031.1,1860.83,1950.43,2049.28,1769.31,1938.16,26.982286,0.396166134,-3.441025641,-2.506089744,-0.934935897,1983.332551,1969.827449,-25.00014852,99.25305869,0.105175358,49.61411246,-462.9032258,0.00683256,256.45
2013-02-05,254.45,255.5,253.2,254.25,-0.77,-0.91,-3.67,1.57,4.84,-1.73,-1.73,1964.43,1938.18,1955.11,2007.04,1938.18,1973.59,2031.1,1860.83,1956.42,2031.1,1860.83,1950.36,2049.28,1769.31,1938.16,27.97353098,0.391475927,-3.660576923,-2.789458689,-0.871118234,1980.687361,1966.492639,-24.45440023,99.14110097,0.103382172,52.09513024,-574.2268041,0.007192335,254.25
2013-02-06,255.1,255.2,253.95,253.95,-0.1,-1.44,-3.77,0.42,2.67,-1.87,-1.87,1961.94,1936.19,1949.46,2007.04,1936.19,1970.81,2031.1,1860.83,1956.78,2031.1,1860.83,1950.39,2049.28,1769.31,1938.01,27.69638036,0.438274242,-3.92275641,-3.070299145,-0.852457265,1978.259117,1963.360883,-23.74368384,99.05178053,0.103167327,51.14942529,-527.8846154,0.007559447,253.95
