date,close,rate-day,rate-week,rate-month,rate-3month,rate-6month,rate-12month,5-high,5-low,5-average,20-high,20-low,20-average,60-high,60-low,60-average,120-high,120-low,120-average,52week-high,52week-low,52week-average , RSI,MACD_12_ 26,9avg_MACD,oscillator,bollbandT,bollbandB,stochastic,이격도,역사적변동성,BWI,close
2010-10-07,2.25,0,0,0,12.5,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.13,2.25,2,2.06,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-10-08,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.13,2.25,2,2.06,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-10-11,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.13,2.25,2,2.06,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-10-12,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.13,2.25,2,2.07,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-10-13,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.13,2.25,2,2.07,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-10-14,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.13,2.25,2,2.07,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-10-15,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.14,2.25,2,2.07,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-10-18,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.14,2.25,2,2.07,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-10-19,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.14,2.25,2,2.07,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-10-20,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.14,2.25,2,2.07,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-10-21,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.14,2.25,2,2.07,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-10-22,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.15,2.25,2,2.07,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-10-25,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.15,2.25,2,2.07,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-10-26,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.15,2.25,2,2.08,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-10-27,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.15,2.25,2,2.08,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-10-28,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.15,2.25,2,2.08,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-10-29,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.16,2.25,2,2.08,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-11-01,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.16,2.25,2,2.08,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-11-02,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.16,2.25,2,2.08,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-11-03,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.16,2.25,2,2.08,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-11-04,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.16,2.25,2,2.08,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-11-05,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.17,2.25,2,2.08,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-11-08,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.17,2.25,2,2.08,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-11-09,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.17,2.25,2,2.08,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-11-10,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.17,2.25,2,2.09,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-11-11,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.17,2.25,2,2.09,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-11-12,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.18,2.25,2,2.09,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-11-15,2.25,0,0,0,0,12.5,12.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,2.18,2.25,2,2.09,0,0,0,0,2.25,2.25,0,100,0,0,2.25
2010-11-16,2.5,11.11,11.11,11.11,11.11,25,25,2.5,2.25,2.3,2.5,2.25,2.26,2.5,2.25,2.25,2.5,2,2.18,2.5,2,2.09,0,0.011217949,0.001246439,0.00997151,2.374303399,2.150696601,1,100.2631215,0.372505675,0.098831734,2.5
2010-11-17,2.5,0,11.11,11.11,11.11,25,25,2.5,2.25,2.35,2.5,2.25,2.28,2.5,2.25,2.26,2.5,2,2.18,2.5,2,2.09,0,0.022435897,0.003739316,0.018696581,2.428896753,2.121103247,1,100.5108381,0.372505675,0.135293849,2.5
2010-11-18,2.5,0,11.11,11.11,11.11,25,25,2.5,2.25,2.4,2.5,2.25,2.29,2.5,2.25,2.26,2.5,2,2.19,2.5,2,2.09,0,0.033653846,0.007478632,0.026175214,2.470673774,2.104326226,1,100.7431874,0.372505675,0.160151934,2.5
2010-11-19,2.5,0,11.11,11.11,11.11,25,25,2.5,2.25,2.45,2.5,2.25,2.3,2.5,2.25,2.27,2.5,2,2.19,2.5,2,2.1,0,0.044871795,0.012464387,0.032407407,2.50519567,2.09480433,1,100.9602195,0.372505675,0.178431018,2.5
2010-11-22,2.5,0,11.11,11.11,11.11,25,25,2.5,2.5,2.5,2.5,2.25,2.31,2.5,2.25,2.27,2.5,2,2.2,2.5,2,2.1,0,0.056089744,0.018696581,0.037393162,2.534630829,2.090369171,1,101.1619959,0.372505675,0.19211315,2.5
2010-11-23,2.5,0,0,11.11,11.11,25,25,2.5,2.5,2.5,2.5,2.25,2.33,2.5,2.25,2.27,2.5,2,2.2,2.5,2,2.1,0,0.067307692,0.026175214,0.041132479,2.560081173,2.089918827,1,101.3485901,0.372505675,0.202220364,2.5
2010-11-24,2.5,0,0,11.11,11.11,25,25,2.5,2.5,2.5,2.5,2.25,2.34,2.5,2.25,2.28,2.5,2,2.2,2.5,2,2.1,0,0.078525641,0.034900285,0.043625356,2.582180242,2.092819758,1,101.5200869,0.372505675,0.209352079,2.5
2010-11-25,2.5,0,0,11.11,11.11,25,25,2.5,2.5,2.5,2.5,2.25,2.35,2.5,2.25,2.28,2.5,2,2.21,2.5,2,2.1,0,0.08974359,0.044871795,0.044871795,2.601312345,2.098687655,1,101.6765819,0.372505675,0.213882847,2.5
2010-11-26,2.5,0,0,11.11,11.11,25,25,2.5,2.5,2.5,2.5,2.25,2.36,2.5,2.25,2.28,2.5,2,2.21,2.5,2,2.11,0,0.100961538,0.056089744,0.044871795,2.617708893,2.107291107,1,101.8181818,0.372505675,0.216049856,2.5
